URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
https://open.spotify.com/track/03h8eaVgdJJ14cCKiO4ONX,0.639,0.828,-3.071,0.0775,0.0545,0,0.0443,0.952,178.033
https://open.spotify.com/track/03hqMhmCZiNKMSPmVabPLP,0.359,0.6,-7.317,0.0398,0.113,1.32E-06,0.0952,0.195,175.894
https://open.spotify.com/track/03i0AsAY16ND5XlawvTOAu,0.919,0.879,-4.28,0.291,0.128,0,0.0874,0.571,114.045
https://open.spotify.com/track/03kx4uOCPmtH0mCvl9Gr9f,0.791,0.78,-4.608,0.077,0.0106,1.09E-06,0.0903,0.557,119.963
https://open.spotify.com/track/03lq55g82Acj75uyIuFgAC,0.762,0.549,-8.158,0.0982,0.611,0.000228,0.346,0.699,107.994
https://open.spotify.com/track/03m3V7fDyW7UdEKUjdO8ml,0.796,0.738,-4.445,0.106,0.181,0,0.123,0.333,120.048
https://open.spotify.com/track/03m5ynXvoV7XkMKQUvtYgy,0.417,0.654,-6.321,0.0326,0.691,0,0.104,0.265,154.001
https://open.spotify.com/track/03n91BgbUx5fv8ZEbuoJTk,0.698,0.478,-9.352,0.0557,0.00488,0.00618,0.131,0.389,129.039
https://open.spotify.com/track/03o3DA7HEqZPFVKL9R28ur,0.649,0.775,-4.684,0.0582,0.041,0.000516,0.101,0.274,100.996
https://open.spotify.com/track/03smf37Y11ZaOSl9eW98e1,0.658,0.705,-6.19,0.0253,0.0154,0.00399,0.103,0.413,100.021
https://open.spotify.com/track/03t3IRKAyXPGeAWCidF03q,0.687,0.481,-7.014,0.302,0.336,0,0.127,0.497,114.947
https://open.spotify.com/track/03vFJJ6elhJC6eBWR59P74,0.439,0.762,-5.527,0.471,0.00586,0,0.091,0.192,215.898
https://open.spotify.com/track/03whAIiXKU0Rm7c2iZsEkH,0.861,0.84,-4.764,0.134,0.236,3.81E-05,0.0857,0.773,130.961
https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61,0.713,0.733,-6.431,0.152,0.0933,2.23E-05,0.237,0.502,108.992
https://open.spotify.com/track/044qU7kwVZaDwzWnRsmVVL,0.752,0.543,-9.483,0.0398,0.623,0.0706,0.107,0.282,126.001
https://open.spotify.com/track/045FwWlfQeVoaCNDvShp7m,0.758,0.783,-4.583,0.0652,0.0256,0,0.104,0.61,97.993
https://open.spotify.com/track/045SnNDjOfOLKM5OxARH4g,0.553,0.747,-5.905,0.0292,0.0244,0,0.363,0.711,73.033
https://open.spotify.com/track/045sp2JToyTaaKyXkGejPy,0.454,0.229,-12.592,0.0297,0.167,0.102,0.202,0.134,73.552
https://open.spotify.com/track/046V5BNnY8IRvy9byXKSxq,0.514,0.83,-3.913,0.0427,0.257,0,0.135,0.538,145.754
https://open.spotify.com/track/047wZQy2qgOm5WKIeZ91LK,0.701,0.853,-4.055,0.0737,0.111,0,0.046,0.912,115.001
https://open.spotify.com/track/047xSG6BBbo0TYFiQ7Ps6i,0.765,0.491,-5.996,0.143,0.249,0,0.119,0.527,94.788
https://open.spotify.com/track/048uWGSGTnQhaZFjTCVPZX,0.868,0.636,-7.383,0.227,0.0787,0.00768,0.138,0.623,115.008
https://open.spotify.com/track/049M4OpTDDAl4xIjElDTGC,0.559,0.748,-6.487,0.387,0.0674,0,0.23,0.335,68.76
https://open.spotify.com/track/049vXERjilfrN8WoXG8zPt,0.352,0.41,-8.796,0.0388,0.556,0.0113,0.114,0.0952,118.721
https://open.spotify.com/track/049wfFS3kAsdmGOH8ktYJ3,0.501,0.534,-4.311,0.0367,0.494,0,0.107,0.582,170.27
